,A,B,C
9.7,4.797504086382378e-09,0.0016581169618545043,0.008341878240639512
9.715505,4.687215394880822e-09,0.0016529831818167112,0.008347012130965998
9.764495,4.355123729435804e-09,0.0016368667350536697,0.008363128909820697
9.8,4.1292500404543916e-09,0.0016252847076477232,0.008374711163100316
9.815505,4.034323683823008e-09,0.0016202525680597004,0.008379743397614698
9.864495,3.748489738029034e-09,0.0016044552025373815,0.008395541048970953
9.9,3.5540784519581215e-09,0.0015931024834977888,0.008406893962421818
9.915505,3.472374579506414e-09,0.0015881699738618492,0.008411826553761633
9.964495,3.226355022048775e-09,0.0015726853777260957,0.008427311395916934
10.0,3.0590236771622183e-09,0.0015615574307808247,0.008438439510193537
